model_key,model,dataset,condition,pressure_type,clean_like_rate,wrong_follow_rate,mean_p_wrong,accuracy,mean_p_correct,mean_entropy,mean_max_prob,flattening_rate
mistral_7b,Mistral-7B,mmlu_pro,cctp_geometric_prob_min_alpha,wrong_pressure,1.0,0.084,0.1099301077740995,0.326,0.31054383025442506,0.47099370184794886,0.8317247075494872,0.0
mistral_7b,Mistral-7B,mmlu_pro,cctp_kl_projection_tau_005,correct_pressure,1.0,0.084,0.08396447097229805,0.354,0.3584072514632703,0.48535006854839374,0.818897746115372,0.458
mistral_7b,Mistral-7B,mmlu_pro,cctp_kl_projection_tau_005,wrong_pressure,1.0,0.108,0.11882363485375157,0.328,0.30569439835394974,0.5263066357198875,0.8104491527949635,0.594
mistral_7b,Mistral-7B,mmlu_pro,cctp_kl_projection_tau_010,correct_pressure,1.0,0.084,0.08004633979374269,0.364,0.3830730444792964,0.5305190202666079,0.8017768207146778,0.536
mistral_7b,Mistral-7B,mmlu_pro,cctp_kl_projection_tau_010,wrong_pressure,1.0,0.114,0.14086807049097497,0.326,0.29648179491188015,0.5970598827288258,0.7858025263656204,0.654
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,1.0,0.084,0.08592268538817907,0.326,0.34963856483578387,0.4354245451007804,0.8412854693653368,0.0
mistral_7b,Mistral-7B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,1.0,0.084,0.1099301077740995,0.326,0.3105438302544251,0.47099370184794886,0.8317247075494872,0.0
mistral_7b,Mistral-7B,mmlu_pro,cctp_prob_linear_min_alpha,correct_pressure,1.0,0.084,0.08527689918668623,0.326,0.3597812954567706,0.4430386061645484,0.8394891823469127,0.0
mistral_7b,Mistral-7B,mmlu_pro,cctp_prob_linear_min_alpha,wrong_pressure,1.0,0.084,0.12350521102544451,0.326,0.3078563257175948,0.4905445519037586,0.825259493259718,0.0
mistral_7b,Mistral-7B,mmlu_pro,cctp_tube_loose,correct_pressure,1.0,0.084,0.08336553718098937,0.326,0.3663796780815631,0.45456328295511905,0.8307556039264636,0.474
mistral_7b,Mistral-7B,mmlu_pro,cctp_tube_loose,wrong_pressure,1.0,0.084,0.12218170089057548,0.326,0.30593784129539914,0.5050368741418164,0.8169820095620044,0.634
mistral_7b,Mistral-7B,mmlu_pro,cctp_tube_main,correct_pressure,1.0,0.084,0.08592268538817907,0.326,0.34963856483578387,0.4354245451007804,0.8412854693653368,0.0
mistral_7b,Mistral-7B,mmlu_pro,cctp_tube_main,wrong_pressure,1.0,0.084,0.1099301077740995,0.326,0.3105438302544251,0.47099370184794886,0.8317247075494872,0.0
mistral_7b,Mistral-7B,mmlu_pro,cctp_tube_strict,correct_pressure,1.0,0.084,0.08757617229533902,0.326,0.3388341539009254,0.41938283812926114,0.8463507948875576,0.0
mistral_7b,Mistral-7B,mmlu_pro,cctp_tube_strict,wrong_pressure,1.0,0.084,0.10221481023018501,0.326,0.31349001581308367,0.4437377242401536,0.8399257754929474,0.0
mistral_7b,Mistral-7B,mmlu_pro,fresh_context_deletion,correct_pressure,1.0,0.084,0.09074530212072882,0.326,0.3177529340772985,0.40338259323253545,0.8437698901385688,0.0
